TIPO_PREST	TIPO_PREST_DESC	ESTAB_ORIG	ESTAB_DEST	ESTAB_DEST_NOMBRE	PRESTA_MIN	ESPECIALIDAD_SIGTE	AÑO	MES	N_ENTRADAS
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2017	4	10
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2017	5	4
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2017	6	10
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2017	7	15
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2017	8	13
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2017	9	7
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2017	10	15
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2017	11	14
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2017	12	3
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2018	1	4
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2019	3	4
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2019	4	1
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2019	8	1
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2019	11	1
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2020	9	1
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2020	10	1
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2020	11	1
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2021	1	1
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2021	12	1
1	Consulta Especialidad	114010	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2022	4	1
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2010	4	1
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2011	9	1
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2011	10	1
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2012	2	1
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2012	3	3
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2012	4	9
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2012	5	1
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2012	6	4
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2012	7	5
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2012	8	5
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2012	9	7
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2012	10	7
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2012	11	6
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2012	12	3
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2013	1	10
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2013	2	5
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2013	3	8
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2013	4	11
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2013	5	18
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2013	6	25
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2013	7	24
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2013	8	13
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2013	9	16
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2013	10	26
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2013	11	14
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2013	12	14
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2014	1	22
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2014	2	18
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2014	3	19
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2014	4	5
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2014	5	11
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2014	6	8
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2014	7	18
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2014	8	19
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2014	9	23
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2014	10	24
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2014	11	47
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2014	12	95
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2015	1	134
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2015	2	149
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2015	3	180
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2015	4	142
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2015	5	107
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2015	6	130
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2015	7	148
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2015	8	114
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2015	9	150
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2015	10	113
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2015	11	139
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2015	12	115
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2016	1	124
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2016	2	109
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2016	3	148
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2016	4	143
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2016	5	136
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2016	6	134
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2016	7	141
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2016	8	141
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2016	9	153
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2016	10	154
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2016	11	152
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2016	12	191
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2017	1	229
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2017	2	124
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2017	3	208
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2017	4	164
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2017	5	181
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2017	6	195
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2017	7	150
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2017	8	176
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2017	9	153
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2017	10	194
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2017	11	181
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2017	12	145
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2018	1	93
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2018	2	227
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2018	3	266
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2018	4	210
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2018	6	1
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2018	8	3
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2018	9	8
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2018	10	137
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2018	11	80
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2018	12	120
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2019	1	31
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2019	2	54
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2019	3	92
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2019	4	85
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2019	5	79
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2019	6	72
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2019	7	87
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2019	8	73
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2019	9	84
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2019	10	101
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2019	11	130
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2019	12	69
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2020	1	65
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2020	2	63
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2020	3	89
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2020	4	20
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2020	5	17
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2020	6	12
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2020	7	31
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2020	8	19
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2020	9	144
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2020	10	165
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2020	11	145
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2020	12	135
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2021	1	155
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2021	2	119
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2021	3	163
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2021	4	153
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2021	5	158
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2021	6	155
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2021	7	99
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2021	8	120
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2021	9	120
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2021	10	106
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2021	11	83
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2021	12	124
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2022	1	60
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2022	2	143
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2022	3	213
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2022	4	134
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2022	5	145
1	Consulta Especialidad	114101	114101	HOSPITAL DR. SÓTERO DEL RÍO	07-058	GINECOLOGIA	2022	6	156
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2012	11	1
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2014	10	1
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2014	12	1
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2015	2	1
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2015	5	1
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2015	6	1
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2015	7	1
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2015	10	1
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2015	11	1
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2015	12	2
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2016	1	1
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2016	2	1
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2016	3	1
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2016	4	2
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2016	8	1
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2016	10	1
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2017	5	2
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2017	6	1
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2017	7	1
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2017	8	5
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2017	10	2
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2017	11	1
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2017	12	3
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2018	1	8
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2018	2	2
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2018	3	2
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2018	4	6
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2018	5	3
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2018	6	11
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2019	1	1
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2019	5	1
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2019	6	4
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2019	8	1
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2019	10	1
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2019	11	1
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2020	1	2
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2020	2	3
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2020	3	1
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2020	4	1
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2020	5	3
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2020	6	2
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2020	7	4
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2020	8	4
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2020	9	1
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2020	10	4
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2020	11	7
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2020	12	2
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2021	2	2
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2021	3	6
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2021	4	10
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2021	5	3
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2021	6	4
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2021	7	4
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2021	8	5
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2021	9	12
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2021	10	2
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2021	11	4
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2021	12	7
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2022	1	10
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2022	2	5
1	Consulta Especialidad	114101	114103	HOSPITAL PADRE HURTADO	07-058	GINECOLOGIA	2022	3	7
